node,node,weight
马克思主义学院楼,研究生公寓4号楼,4
国际教育中心,本科生公寓2号楼,1
群贤堂,研究生公寓4号楼,4
法学院楼,审计处,10
生物实验楼,心理与认知科学学院楼,8
河西食堂,国际教育中心,2
本科生公寓6号楼,中北校区大门,4
体育健康楼,丽娃湖,3
研究生公寓4号楼,河东浴室,3
秋林阁,信息楼,9
第四教学楼,法学院楼,10
音乐学院楼,申云轩餐厅,8
桃李园广场,东操场,4
足球场,心中书社,7
信息楼,实验A楼,6
物理信息楼,地理馆,3
研究生公寓1号楼,桃李园广场,8
心理健康教育与咨询中心,中北校区大门,9
本科生公寓5号楼,信息化办公室,7
秋林阁,实验B楼,10
河东食堂,丽娃河,5
闵行图书馆,河西浴室,8
外语学院楼,秋林阁,7
本科生公寓6号楼,校史馆,2
法商楼,审计处,4
人文学院楼,实验B楼,9
法学院楼,河西食堂,9
本科生公寓2号楼,河西浴室,2
紫竹广场,统计学院楼,4
本科生公寓6号楼,心理与认知科学学院楼,8
足球场,本科生公寓2号楼,1
团委,桃李园广场,8
丽娃食堂,科技处,1
校史馆,研究生公寓1号楼,2
东操场,第四教学楼,7
青年教师公寓,国际教育中心,7
基建处,中北校区大门,5
美术学院楼,柳长桥,1
百花园餐厅,学生资助管理中心,5
本科生公寓4号楼,柳长桥,8
法商楼,虹梅路警卫室,8
档案馆,河东浴室,6
校园警卫室,柳长桥,2
本科生公寓2号楼,生物实验楼,1
档案馆,青年教师公寓,9
本科生公寓1号楼,第一教学楼,4
本科生公寓3号楼,丽虹桥,4
第二教学楼,研究生公寓1号楼,5
华闵餐厅,人事处,1
中北校区大门,思群堂,3
柳长桥,校医院,8
信息化办公室,紫竹广场,10
行政楼,地理馆,10
群贤堂,闵行校区大门,7
本科生公寓1号楼,校医院,10
篮球场,本科生公寓4号楼,10
行政楼,本科生公寓5号楼,5
足球场,资产管理处,2
河东浴室,河西食堂,6
丽娃湖,实验教学中心,8
法商楼,地理馆,8
审计处,信息楼,3
秋实阁,学校办公室,9
共青场,数统楼,9
青年教师公寓,华闵餐厅,8
实验A楼,马克思主义学院楼,10
河口海岸大楼,心理与认知科学学院楼,4
外语学院楼,柳长桥,1
后勤保障部,SPF实验动物中心,3
化学实验楼,第二教学楼,7
梅陇井,莲花路警卫室,6
数统楼,闵行校区大门,8
实验B楼,丽虹桥,10
后勤保障部,河口海岸大楼,5
研究生公寓4号楼,物理信息楼,7
第四教学楼,基建处,1
SPF实验动物中心,群贤堂,9
心理健康教育与咨询中心,思群堂,7
桃李园广场,本科生公寓3号楼,2
紫竹广场,丽娃食堂,9
地理馆,后勤保障部,6
信息楼,研究生公寓1号楼,3
审计处,物理楼,5
信息化办公室,化学实验楼,4
西操场,思群堂,2
虹梅路警卫室,第四教学楼,6
立体停车库,河西食堂,1
外语学院楼,紫竹广场,4
第四教学楼,紫竹广场,10
青年教师公寓,桃李园广场,8
档案馆,第二教学楼,4
实验B楼,本科生公寓1号楼,4
校医院,学校办公室,3
本科生公寓4号楼,国际教育中心,1
本科生公寓2号楼,心中书社,3
实验A楼,物理楼,2
研究生公寓2号楼,第一教学楼,9
团委,闵行校区大门,5
河口海岸大楼,排球场,9
科技处,研究生公寓1号楼,5
丽娃河,秋实阁,3
教育学部楼,行政楼,8
计算机中心,人文学院楼,7
本科生公寓3号楼,研究生公寓2号楼,2
SPF实验动物中心,华闵餐厅,6
美术学院楼,研究生公寓1号楼,4
学生资助管理中心,研究生公寓2号楼,1
紫竹广场,中北校区大门,2
校医院,商学院楼,4
秋林阁,西操场,8
心中书社,人事处,6
思群堂,团委,1
第一教学楼,人文学院楼,2
排球场,心理健康教育与咨询中心,6
信息化办公室,秋林阁,10
综合体育馆,游泳馆,3
心理健康教育与咨询中心,本科生公寓2号楼,5
校医院,实验A楼,9
研究生公寓3号楼,第四教学楼,1
河东食堂,化学实验楼,10
紫竹广场,实验A楼,3
田径场,崇真书院,2
田径场,河口海岸大楼,2
教育学部楼,化学实验楼,2
国际教育中心,生命科学学院楼,7
地理馆,生命科学学院楼,1
本科生公寓4号楼,本科生公寓6号楼,4
法学院楼,中北校区大门,1
田径场,计算机中心,2
崇真书院,共青场,9
申云轩餐厅,本科生公寓4号楼,5
闵行校区大门,行政楼,8
科技处,共青场,7
地理馆,丽娃河,2
河西食堂,化学实验楼,7
研究生公寓1号楼,后勤保障部,7
丽娃河,本科生公寓4号楼,3
丽娃浴室,立体停车库,4
校史馆,团委,1
第四教学楼,信息化办公室,6
心理与认知科学学院楼,虹梅路警卫室,6
本科生公寓5号楼,本科生公寓6号楼,3
化学实验楼,校史馆,7
紫竹广场,计算机中心,10
实验A楼,音乐学院楼,10
数统楼,河东浴室,1
研究生公寓4号楼,共青场,1
行政楼,本科生公寓4号楼,5
本科生公寓5号楼,实验教学中心,8
桃李园广场,学生资助管理中心,3
实验B楼,思群堂,1
统计学院楼,学术交流中心,8
科技处,篮球场,9
思群堂,闵行校区大门,6
第二教学楼,地理馆,10
本科生公寓5号楼,档案馆,10
丽娃食堂,丽娃湖,10
桃李园广场,丽娃河,8
信息化办公室,人事处,8
银之春西餐厅,翔华书店,6
数统楼,研究生公寓3号楼,2
丽娃食堂,图书馆逸夫楼,1
统计学院楼,闵行图书馆,9
档案馆,生物实验楼,4
立体停车库,实验教学中心,10
学生资助管理中心,资产管理处,7
学生资助管理中心,心中书社,5
华闵餐厅,体育健康楼,9
紫竹广场,柳长桥,9
闵行图书馆,丽娃食堂,9
实验教学中心,人文学院楼,1
数统楼,资产管理处,8
实验教学中心,心理健康教育与咨询中心,1
立体停车库,法商楼,5
本科生公寓6号楼,国际教育中心,8
教育学部楼,研究生公寓1号楼,7
华闵餐厅,资产管理处,8
思群堂,翔华书店,3
思群堂,研究生公寓2号楼,1
外语学院楼,申云轩餐厅,10
百花园餐厅,化学实验楼,10
河西食堂,校史馆,8
思群堂,审计处,3
莲花路警卫室,后勤保障部,6
百花园餐厅,基建处,10
西操场,共青场,8
东操场,综合体育馆,6
东操场,崇真书院,9
河西食堂,排球场,2
东操场,研究生公寓3号楼,3
西操场,丽娃湖,9
心理与认知科学学院楼,马克思主义学院楼,2
立体停车库,档案馆,9
审计处,商学院楼,5
共青场,本科生公寓1号楼,9
音乐学院楼,心理健康教育与咨询中心,4
游泳馆,研究生公寓4号楼,4
本科生公寓6号楼,第四教学楼,9
柳长桥,物理信息楼,7
心理健康教育与咨询中心,河西浴室,9
丽娃食堂,第一教学楼,7
信息化办公室,本科生公寓3号楼,9
综合体育馆,柳长桥,4
校史馆,国际教育中心,8
学生资助管理中心,美术学院楼,5
法学院楼,实验教学中心,2
学生资助管理中心,校史馆,4
共青场,思群堂,3
第三教学楼,法学院楼,2
团委,本科生公寓6号楼,10
华闵餐厅,信息化办公室,6
数统楼,紫竹广场,7
排球场,地理馆,2
第四教学楼,教育学部楼,6
河口海岸大楼,化学实验楼,4
柳长桥,研究生公寓4号楼,10
心中书社,校医院,4
心理与认知科学学院楼,校史馆,4
本科生公寓1号楼,团委,1
河东食堂,心理与认知科学学院楼,8
丽娃食堂,游泳馆,10
音乐学院楼,梅陇井,2
生物实验楼,闵行图书馆,5
基建处,闵行图书馆,7
本科生公寓4号楼,本科生公寓3号楼,7
审计处,团委,4
体育健康楼,人事处,6
群贤堂,法学院楼,10
学术交流中心,审计处,7
秋实阁,东操场,1
丽娃河,柳长桥,10
田径场,学生资助管理中心,7
SPF实验动物中心,物理信息楼,1
青年教师公寓,体育健康楼,2
本科生公寓1号楼,崇真书院,10
心理与认知科学学院楼,统计学院楼,1
秋实阁,闵行校区大门,8
丽娃浴室,档案馆,9
心中书社,人文学院楼,9
行政楼,丽娃食堂,1
秋实阁,本科生公寓6号楼,8
共青场,团委,10
丽娃浴室,化学实验楼,3
行政楼,群贤堂,2
研究生公寓1号楼,河东食堂,5
河西食堂,思群堂,8
共青场,排球场,9
本科生公寓1号楼,第三教学楼,9
研究生公寓3号楼,校医院,9
研究生公寓1号楼,篮球场,1
第三教学楼,团委,5
丽娃浴室,研究生公寓2号楼,10
实验A楼,篮球场,2
丽娃河,实验教学中心,3
校园警卫室,心理与认知科学学院楼,10
河西浴室,物理楼,10
实验B楼,校园警卫室,3
丽娃食堂,实验教学中心,4
立体停车库,商学院楼,10
学生活动中心,行政楼,8
外语学院楼,化学实验楼,4
学生活动中心,学校办公室,2
丽娃食堂,河东食堂,5
游泳馆,第三教学楼,5
百花园餐厅,东操场,10
秋林阁,美术学院楼,10
校医院,丽娃河,6
信息化办公室,数统楼,5
科技处,研究生公寓2号楼,5
档案馆,体育健康楼,5
本科生公寓1号楼,丽娃食堂,1
法学院楼,百花园餐厅,7
研究生公寓3号楼,本科生公寓5号楼,1
本科生公寓4号楼,研究生公寓4号楼,7
本科生公寓1号楼,审计处,2
闵行校区大门,物理信息楼,7
丽娃湖,河西浴室,5
综合体育馆,秋实阁,5
马克思主义学院楼,虹梅路警卫室,7
丽娃浴室,本科生公寓1号楼,9
虹梅路警卫室,校医院,5
商学院楼,档案馆,4
足球场,虹梅路警卫室,5
丽娃浴室,资产管理处,1
法学院楼,人文学院楼,2
第二教学楼,秋实阁,2
秋林阁,本科生公寓6号楼,4
闵行校区大门,桃李园广场,9
申云轩餐厅,校史馆,8
地理馆,教育学部楼,3
化学实验楼,校园警卫室,2
基建处,丽娃食堂,3
心理健康教育与咨询中心,河西食堂,1
地理馆,篮球场,4
本科生公寓3号楼,校园警卫室,8
信息化办公室,法学院楼,6
足球场,马克思主义学院楼,1
学术交流中心,商学院楼,3
数统楼,学生资助管理中心,8
研究生公寓2号楼,排球场,9
秋实阁,物理楼,7
学术交流中心,虹梅路警卫室,1
外语学院楼,河西浴室,9
学校办公室,美术学院楼,10
图书馆逸夫楼,闵行校区大门,4
百花园餐厅,音乐学院楼,7
学生资助管理中心,东操场,10
审计处,学校办公室,3
国际教育中心,丽娃食堂,9
学校办公室,计算机中心,4
本科生公寓6号楼,统计学院楼,7
学生活动中心,教育学部楼,2
河西食堂,图书馆逸夫楼,9
排球场,信息化办公室,2
马克思主义学院楼,梅陇井,8
河东食堂,研究生公寓2号楼,10
立体停车库,资产管理处,4
行政楼,丽娃浴室,10
华闵餐厅,研究生公寓1号楼,5
共青场,莲花路警卫室,10
实验B楼,团委,3
梅陇井,申云轩餐厅,8
西操场,第四教学楼,3
实验A楼,第三教学楼,8
审计处,河口海岸大楼,3
河东浴室,华闵餐厅,10
本科生公寓5号楼,体育健康楼,8
百花园餐厅,河东食堂,10
华闵餐厅,河西浴室,10
研究生公寓2号楼,生命科学学院楼,4
第一教学楼,统计学院楼,6
生命科学学院楼,综合体育馆,4
莲花路警卫室,数统楼,8
信息楼,立体停车库,6
本科生公寓6号楼,百花园餐厅,8
商学院楼,第三教学楼,8
研究生公寓1号楼,共青场,4
学生活动中心,外语学院楼,7
基建处,实验A楼,4
美术学院楼,本科生公寓2号楼,8
心中书社,心理与认知科学学院楼,1
百花园餐厅,物理信息楼,5
信息化办公室,美术学院楼,10
化学实验楼,丽娃食堂,3
校史馆,信息化办公室,6
信息化办公室,田径场,4
秋实阁,统计学院楼,5
桃李园广场,心理与认知科学学院楼,1
河东浴室,法学院楼,2
河西食堂,学生资助管理中心,9
申云轩餐厅,心理与认知科学学院楼,1
丽娃河,物理信息楼,6
申云轩餐厅,生物实验楼,5
统计学院楼,华闵餐厅,3
档案馆,SPF实验动物中心,6
河口海岸大楼,秋林阁,10
校园警卫室,游泳馆,8
第一教学楼,心理与认知科学学院楼,9
SPF实验动物中心,游泳馆,7
SPF实验动物中心,资产管理处,8
篮球场,学校办公室,1
教育学部楼,后勤保障部,4
实验A楼,行政楼,10
物理信息楼,游泳馆,6
人文学院楼,物理信息楼,3
田径场,本科生公寓3号楼,10
法商楼,华闵餐厅,7
排球场,河西浴室,2
校医院,东操场,3
档案馆,实验B楼,2
信息楼,校园警卫室,5
申云轩餐厅,团委,9
河东食堂,丽娃湖,7
研究生公寓2号楼,心理健康教育与咨询中心,10
商学院楼,校史馆,10
青年教师公寓,本科生公寓1号楼,4
翔华书店,化学实验楼,9
青年教师公寓,共青场,5
河口海岸大楼,实验教学中心,8
学校办公室,本科生公寓2号楼,6
秋实阁,物理信息楼,7
心中书社,研究生公寓1号楼,3
实验A楼,柳长桥,1
科技处,西操场,2
翔华书店,学校办公室,9
实验A楼,统计学院楼,6
思群堂,第一教学楼,9
河西食堂,柳长桥,8
本科生公寓3号楼,心理与认知科学学院楼,10
丽娃河,美术学院楼,10
美术学院楼,外语学院楼,4
物理楼,青年教师公寓,7
河东浴室,百花园餐厅,3
研究生公寓4号楼,实验A楼,8
东操场,实验A楼,1
后勤保障部,第一教学楼,10
崇真书院,校史馆,1
资产管理处,人文学院楼,8
数统楼,河东食堂,9
本科生公寓5号楼,科技处,9
学生资助管理中心,足球场,9
共青场,丽娃食堂,1
丽娃浴室,足球场,2
秋林阁,本科生公寓3号楼,2
莲花路警卫室,团委,4
河东浴室,丽娃河,9
丽娃食堂,心理健康教育与咨询中心,10
虹梅路警卫室,闵行图书馆,7
第三教学楼,秋林阁,7
河西食堂,生命科学学院楼,3
综合体育馆,物理楼,5
SPF实验动物中心,本科生公寓4号楼,6
本科生公寓3号楼,秋实阁,3
校园警卫室,群贤堂,9
本科生公寓2号楼,数统楼,7
梅陇井,西操场,3
教育学部楼,心中书社,5
教育学部楼,紫竹广场,1
档案馆,音乐学院楼,1
青年教师公寓,第一教学楼,6
本科生公寓1号楼,闵行图书馆,10
东操场,丽娃食堂,6
思群堂,学术交流中心,5
学生活动中心,人事处,2
资产管理处,本科生公寓4号楼,3
本科生公寓3号楼,实验A楼,5
心理健康教育与咨询中心,丽虹桥,2
百花园餐厅,资产管理处,4
本科生公寓6号楼,梅陇井,5
基建处,紫竹广场,2
本科生公寓1号楼,心理健康教育与咨询中心,9
田径场,资产管理处,8
银之春西餐厅,统计学院楼,3
本科生公寓3号楼,足球场,8
美术学院楼,信息楼,1
河西浴室,本科生公寓6号楼,5
河口海岸大楼,共青场,4
西操场,化学实验楼,8
群贤堂,马克思主义学院楼,2
学生活动中心,秋实阁,5
田径场,生物实验楼,2
河东浴室,研究生公寓1号楼,3
百花园餐厅,丽娃浴室,4
河东浴室,图书馆逸夫楼,8
研究生公寓1号楼,统计学院楼,8
计算机中心,崇真书院,3
研究生公寓3号楼,化学实验楼,6
河西浴室,丽娃食堂,7
丽虹桥,华闵餐厅,10
物理楼,图书馆逸夫楼,4
丽娃河,物理楼,9
桃李园广场,立体停车库,2
丽娃浴室,统计学院楼,9
图书馆逸夫楼,学生活动中心,2
中北校区大门,物理楼,9
实验A楼,校园警卫室,3
共青场,实验B楼,3
中北校区大门,美术学院楼,6
莲花路警卫室,翔华书店,5
丽娃浴室,人文学院楼,3
崇真书院,百花园餐厅,5
学校办公室,足球场,9
国际教育中心,立体停车库,3
莲花路警卫室,教育学部楼,5
实验教学中心,梅陇井,2
马克思主义学院楼,青年教师公寓,3
虹梅路警卫室,游泳馆,9
崇真书院,后勤保障部,6
数统楼,教育学部楼,4
体育健康楼,本科生公寓1号楼,7
马克思主义学院楼,人事处,7
心中书社,排球场,1
柳长桥,河口海岸大楼,4
青年教师公寓,崇真书院,4
排球场,团委,3
西操场,中北校区大门,1
河口海岸大楼,银之春西餐厅,2
河口海岸大楼,心中书社,7
实验教学中心,外语学院楼,1
河口海岸大楼,国际教育中心,10
研究生公寓4号楼,第一教学楼,10
信息楼,档案馆,1
紫竹广场,河西浴室,8
足球场,桃李园广场,10
音乐学院楼,法商楼,1
音乐学院楼,莲花路警卫室,6
计算机中心,外语学院楼,4
综合体育馆,紫竹广场,5
秋林阁,柳长桥,7
法商楼,游泳馆,3
第四教学楼,秋林阁,9
科技处,游泳馆,5
后勤保障部,图书馆逸夫楼,3
团委,信息楼,7
物理信息楼,翔华书店,5
校史馆,本科生公寓4号楼,9
国际教育中心,学术交流中心,4
青年教师公寓,综合体育馆,7
本科生公寓1号楼,田径场,7
物理楼,虹梅路警卫室,8
数统楼,物理楼,3
法学院楼,共青场,8
地理馆,梅陇井,1
团委,档案馆,10
实验教学中心,物理信息楼,9
立体停车库,计算机中心,7
银之春西餐厅,西操场,4
丽娃食堂,本科生公寓5号楼,8
青年教师公寓,研究生公寓4号楼,4
校医院,桃李园广场,10
丽娃湖,莲花路警卫室,2
计算机中心,本科生公寓5号楼,2
丽娃食堂,学生资助管理中心,10
研究生公寓4号楼,生命科学学院楼,10
本科生公寓5号楼,实验A楼,8
本科生公寓6号楼,丽娃食堂,10
马克思主义学院楼,统计学院楼,8
校史馆,综合体育馆,9
计算机中心,档案馆,10
本科生公寓6号楼,闵行图书馆,4
梅陇井,本科生公寓3号楼,8
本科生公寓6号楼,河西食堂,4
丽娃浴室,物理楼,9
校园警卫室,立体停车库,2
研究生公寓4号楼,桃李园广场,3
体育健康楼,群贤堂,5
心中书社,信息楼,4
本科生公寓5号楼,美术学院楼,10
柳长桥,心理健康教育与咨询中心,7
本科生公寓3号楼,学生资助管理中心,2
后勤保障部,排球场,9
地理馆,青年教师公寓,8
审计处,生物实验楼,10
地理馆,群贤堂,6
梅陇井,学校办公室,1
马克思主义学院楼,信息楼,10
心理健康教育与咨询中心,美术学院楼,6
丽娃浴室,音乐学院楼,9
河口海岸大楼,河东浴室,8
资产管理处,第四教学楼,5
实验B楼,足球场,10
河口海岸大楼,学生资助管理中心,7
百花园餐厅,心中书社,3
校医院,百花园餐厅,1
实验A楼,实验教学中心,3
后勤保障部,心理与认知科学学院楼,5
丽娃湖,秋实阁,10
人文学院楼,信息楼,7
翔华书店,河东食堂,5
翔华书店,研究生公寓1号楼,8
生命科学学院楼,行政楼,10
秋实阁,本科生公寓5号楼,2
田径场,心理健康教育与咨询中心,8
思群堂,人事处,10
学校办公室,第一教学楼,4
丽虹桥,人事处,4
华闵餐厅,校园警卫室,5
心理与认知科学学院楼,地理馆,5
后勤保障部,群贤堂,10
百花园餐厅,柳长桥,1
紫竹广场,东操场,9
心理健康教育与咨询中心,实验B楼,9
申云轩餐厅,华闵餐厅,1
河东浴室,行政楼,2
秋实阁,教育学部楼,8
百花园餐厅,国际教育中心,6
东操场,校史馆,2
河西浴室,崇真书院,3
图书馆逸夫楼,法商楼,4
足球场,地理馆,6
丽娃河,华闵餐厅,6
学术交流中心,本科生公寓1号楼,10
商学院楼,河东食堂,7
研究生公寓4号楼,体育健康楼,8
地理馆,莲花路警卫室,6
柳长桥,桃李园广场,4
人文学院楼,生命科学学院楼,4
法学院楼,心理健康教育与咨询中心,3
柳长桥,音乐学院楼,9
河西食堂,闵行校区大门,8
综合体育馆,档案馆,8
实验A楼,闵行图书馆,2
心理健康教育与咨询中心,地理馆,5
立体停车库,科技处,5
华闵餐厅,群贤堂,9
河西食堂,研究生公寓1号楼,3
物理楼,美术学院楼,4
河东浴室,本科生公寓3号楼,6
紫竹广场,华闵餐厅,1
闵行图书馆,音乐学院楼,1
思群堂,排球场,3
河东浴室,后勤保障部,9
实验B楼,法学院楼,8
河东食堂,法学院楼,4
学校办公室,学术交流中心,4
银之春西餐厅,篮球场,9
心理与认知科学学院楼,法商楼,10
资产管理处,音乐学院楼,1
审计处,SPF实验动物中心,2
闵行校区大门,本科生公寓4号楼,3
心中书社,商学院楼,3
丽娃食堂,档案馆,8
河口海岸大楼,地理馆,8
心中书社,西操场,5
秋林阁,篮球场,1
计算机中心,数统楼,5
思群堂,第二教学楼,2
翔华书店,SPF实验动物中心,2
本科生公寓4号楼,研究生公寓2号楼,9
生物实验楼,虹梅路警卫室,2
实验B楼,后勤保障部,9
西操场,物理楼,10
丽娃浴室,综合体育馆,7
第二教学楼,排球场,7
资产管理处,青年教师公寓,5
心理健康教育与咨询中心,虹梅路警卫室,10
本科生公寓1号楼,人文学院楼,6
马克思主义学院楼,第四教学楼,2
商学院楼,丽娃食堂,6
校园警卫室,河口海岸大楼,1
教育学部楼,本科生公寓1号楼,3
外语学院楼,丽虹桥,3
实验A楼,心中书社,8
人文学院楼,闵行校区大门,8
国际教育中心,校医院,7
信息楼,崇真书院,5
篮球场,游泳馆,5
学校办公室,紫竹广场,4
百花园餐厅,紫竹广场,2
本科生公寓3号楼,教育学部楼,4
丽虹桥,足球场,2
第二教学楼,物理信息楼,5
体育健康楼,审计处,6
闵行图书馆,法商楼,10
虹梅路警卫室,丽娃湖,5
实验A楼,学校办公室,5
群贤堂,学生活动中心,10
东操场,校园警卫室,7
物理信息楼,商学院楼,9
百花园餐厅,实验教学中心,1
百花园餐厅,虹梅路警卫室,2
田径场,研究生公寓2号楼,4
科技处,银之春西餐厅,8
莲花路警卫室,丽娃食堂,5
百花园餐厅,桃李园广场,9
统计学院楼,柳长桥,1
后勤保障部,计算机中心,5
统计学院楼,本科生公寓4号楼,6
音乐学院楼,东操场,9
教育学部楼,统计学院楼,4
第二教学楼,河口海岸大楼,8
田径场,第二教学楼,9
审计处,研究生公寓1号楼,3
学生资助管理中心,综合体育馆,10
资产管理处,国际教育中心,9
第一教学楼,丽娃河,6
闵行图书馆,学术交流中心,6
申云轩餐厅,学校办公室,10
本科生公寓5号楼,生物实验楼,1
秋实阁,马克思主义学院楼,5
西操场,研究生公寓1号楼,4
丽娃湖,校医院,2
群贤堂,美术学院楼,1
本科生公寓6号楼,河口海岸大楼,2
河东食堂,崇真书院,4
校史馆,校园警卫室,8
信息楼,丽虹桥,2
数统楼,马克思主义学院楼,3
法商楼,百花园餐厅,6
实验A楼,秋林阁,1
丽娃食堂,思群堂,2
立体停车库,青年教师公寓,1
行政楼,基建处,3
信息化办公室,河西浴室,7
排球场,西操场,10
秋林阁,校史馆,9
学术交流中心,本科生公寓6号楼,1
马克思主义学院楼,思群堂,8
学术交流中心,外语学院楼,7
法学院楼,物理信息楼,6
东操场,第二教学楼,8
本科生公寓2号楼,桃李园广场,6
校园警卫室,法学院楼,4
校史馆,数统楼,9
校史馆,人事处,2
研究生公寓3号楼,崇真书院,10
桃李园广场,法商楼,7
第四教学楼,第二教学楼,2
丽虹桥,第三教学楼,4
闵行图书馆,百花园餐厅,9
河东浴室,丽娃湖,5
物理楼,本科生公寓5号楼,6
学术交流中心,河东浴室,5
行政楼,研究生公寓3号楼,3
中北校区大门,档案馆,9
申云轩餐厅,实验A楼,4
闵行图书馆,心中书社,9
河口海岸大楼,秋实阁,2
丽虹桥,学校办公室,5
心理与认知科学学院楼,梅陇井,2
本科生公寓1号楼,足球场,1
华闵餐厅,物理信息楼,5
地理馆,统计学院楼,3
科技处,物理信息楼,8
梅陇井,后勤保障部,7
法商楼,外语学院楼,3
统计学院楼,生物实验楼,5
河东食堂,心理健康教育与咨询中心,6
篮球场,第二教学楼,6
丽娃食堂,丽虹桥,5
丽娃湖,梅陇井,9
人事处,心理健康教育与咨询中心,5
紫竹广场,心理健康教育与咨询中心,10
学生活动中心,丽娃河,2
人事处,法学院楼,10
秋实阁,银之春西餐厅,7
东操场,SPF实验动物中心,9
生物实验楼,物理楼,4
立体停车库,翔华书店,5
排球场,梅陇井,2
本科生公寓6号楼,研究生公寓3号楼,1
研究生公寓3号楼,信息化办公室,5
华闵餐厅,虹梅路警卫室,10
综合体育馆,地理馆,4
教育学部楼,思群堂,10
统计学院楼,共青场,10
华闵餐厅,计算机中心,5
外语学院楼,档案馆,2
地理馆,档案馆,4
本科生公寓3号楼,图书馆逸夫楼,3
音乐学院楼,足球场,8
篮球场,图书馆逸夫楼,4
游泳馆,河东浴室,3
河西食堂,第一教学楼,2
研究生公寓1号楼,群贤堂,9
申云轩餐厅,图书馆逸夫楼,8
心理与认知科学学院楼,校医院,8
信息化办公室,商学院楼,3
实验B楼,柳长桥,4
国际教育中心,数统楼,7
外语学院楼,第二教学楼,9
马克思主义学院楼,计算机中心,9
中北校区大门,行政楼,2
银之春西餐厅,虹梅路警卫室,3
银之春西餐厅,本科生公寓2号楼,4
团委,华闵餐厅,2
桃李园广场,学生活动中心,4
学生活动中心,档案馆,5
梅陇井,闵行校区大门,1
实验B楼,田径场,7
青年教师公寓,秋林阁,5
实验教学中心,研究生公寓3号楼,10
档案馆,后勤保障部,3
SPF实验动物中心,柳长桥,6
音乐学院楼,第三教学楼,2
心理与认知科学学院楼,SPF实验动物中心,1
篮球场,本科生公寓5号楼,3
华闵餐厅,立体停车库,5
计算机中心,研究生公寓3号楼,6
国际教育中心,群贤堂,4
本科生公寓6号楼,美术学院楼,6
梅陇井,研究生公寓1号楼,3
学术交流中心,实验B楼,9
申云轩餐厅,东操场,1
马克思主义学院楼,资产管理处,8
行政楼,研究生公寓4号楼,6
图书馆逸夫楼,翔华书店,10
莲花路警卫室,信息楼,8
美术学院楼,音乐学院楼,4
马克思主义学院楼,丽虹桥,9
第一教学楼,河东食堂,2
立体停车库,中北校区大门,6
学术交流中心,排球场,4
秋实阁,第四教学楼,7
莲花路警卫室,中北校区大门,9
实验A楼,丽娃河,5
田径场,研究生公寓3号楼,3
校园警卫室,闵行图书馆,2
地理馆,丽娃浴室,4
人文学院楼,第二教学楼,10
团委,梅陇井,7
实验A楼,商学院楼,1
审计处,西操场,10
丽虹桥,物理楼,5
计算机中心,学生活动中心,5
东操场,美术学院楼,7
心理与认知科学学院楼,心理健康教育与咨询中心,6
团委,数统楼,7
本科生公寓5号楼,田径场,10
实验教学中心,化学实验楼,8
马克思主义学院楼,信息化办公室,4
美术学院楼,教育学部楼,1
丽娃浴室,体育健康楼,5
河口海岸大楼,立体停车库,8
基建处,信息楼,7
基建处,心理与认知科学学院楼,9
研究生公寓1号楼,闵行图书馆,9
莲花路警卫室,生命科学学院楼,7
生命科学学院楼,基建处,2
河东浴室,生命科学学院楼,8
第四教学楼,百花园餐厅,6
人事处,足球场,10
法商楼,第二教学楼,2
河东浴室,国际教育中心,4
中北校区大门,图书馆逸夫楼,3
心理健康教育与咨询中心,物理信息楼,2
丽虹桥,档案馆,6
丽娃浴室,秋实阁,10
心理健康教育与咨询中心,校史馆,10
研究生公寓1号楼,档案馆,2
本科生公寓1号楼,法学院楼,3
图书馆逸夫楼,马克思主义学院楼,9
音乐学院楼,银之春西餐厅,8
第四教学楼,学生活动中心,10
第一教学楼,丽虹桥,4
心理与认知科学学院楼,秋实阁,3
河西食堂,研究生公寓3号楼,6
团委,丽虹桥,5
河西浴室,生物实验楼,6
本科生公寓5号楼,第四教学楼,2
审计处,教育学部楼,1
音乐学院楼,人文学院楼,7
第四教学楼,心中书社,9
河口海岸大楼,本科生公寓4号楼,3
生物实验楼,马克思主义学院楼,10
审计处,游泳馆,2
实验B楼,物理信息楼,4
篮球场,丽娃湖,3
教育学部楼,校园警卫室,7
SPF实验动物中心,综合体育馆,5
国际教育中心,研究生公寓2号楼,10
外语学院楼,丽娃食堂,3
河西食堂,丽虹桥,3
丽娃浴室,中北校区大门,3
实验B楼,丽娃湖,6
共青场,秋林阁,9
信息楼,音乐学院楼,6
第二教学楼,实验A楼,2
综合体育馆,实验教学中心,5
校医院,实验B楼,10
实验B楼,SPF实验动物中心,7
华闵餐厅,学生活动中心,2
生命科学学院楼,实验教学中心,3
心理与认知科学学院楼,排球场,1
本科生公寓5号楼,团委,4
河西浴室,团委,6
第四教学楼,游泳馆,5
足球场,东操场,5
学生资助管理中心,本科生公寓6号楼,8
法商楼,本科生公寓4号楼,2
实验A楼,生命科学学院楼,2
本科生公寓4号楼,思群堂,1
审计处,丽娃湖,9
化学实验楼,崇真书院,9
梅陇井,丽虹桥,10
国际教育中心,物理楼,6
团委,崇真书院,4
华闵餐厅,图书馆逸夫楼,9
研究生公寓2号楼,教育学部楼,10
学术交流中心,第二教学楼,2
河西食堂,西操场,10
秋林阁,学生活动中心,6
河东浴室,实验B楼,9
基建处,档案馆,8
实验A楼,青年教师公寓,10
排球场,闵行图书馆,8
